ID,VG,NVp,Nve,NVm,Np,Nen,GS,FIA,FPW,AA,SV
1,6515609,0.00011257,0.00040979,0.00028641,733.44,4536.15,0,0.24,409,0.15,0.11
2,2452338.7,7.48E-05,0.00030108,0.00042819,183.5,1788.42,20.6,0.31,453.67,0.23,0.06
3,5322060.21,0.00010489,0.00033317,0.00058499,558.23,4886.49,46.3,0.41,754,0.35,0.06
4,4051941.69,0.00014394,0.00032692,0.00046848,583.24,3222.92,21.8,0.24,473,0.19,0.11
5,4570024.18,0.00012693,0.00043183,0.00040997,580.09,3847.07,0,0.21,436,0.17,0.08
6,6993419.9,7.55E-05,0.00026048,0.00028784,527.79,3834.63,13,0.24,388.33,0.2,0.06
7,7191353.16,0.00015436,0.00027862,0.00028589,1110.08,4059.63,31.2,0.23,430,0.16,0.05
8,7812651.96,8.00E-05,0.00035585,0.00018715,624.66,4242.28,43.1,0.32,543.75,0.28,0.05
9,3184291.18,0.00017425,0.00034288,0.00030598,554.85,2066.17,3.3,0.32,398.25,0.09,0.13
10,7968581.88,7.47E-05,0.00022116,0.00021353,595.51,3463.9,7.7,0.25,592.83,0.2,0.08
11,6331704.1,9.11E-05,0.00024018,0.00023735,576.64,3023.58,31.9,0.3,408,0.12,0.09
12,6022939.86,0.00010813,0.00036319,0.00021793,651.29,3500.09,19,0.25,453.5,0.1,0.1
13,4991287.63,6.09E-05,0.00011533,0.0003715,303.83,2429.91,35.2,0.35,464,0.36,0.01
14,5735324.73,0.00016606,0.00040903,0.00023315,952.41,3683.1,9.1,0.35,538.67,0.12,0.09
15,9191350.2,8.85E-05,0.00030679,0.00037633,813.19,6278.75,30.6,0.52,448.75,0.25,0.06
16,5847043.13,5.66E-05,0.00033415,0.00034219,330.8,3954.62,39.2,0.35,584.8,0.27,0.03
17,12305895.41,0.00012506,0.00041438,0.00037104,1538.94,9665.35,59.4,0.33,479.67,0.1,0.05
18,10649445.87,5.72E-05,0.00026104,0.00021275,609.17,5045.59,0,0.31,674.67,0.34,0.03
19,7504104.55,6.14E-05,0.00031549,0.00035068,460.37,4999.03,10.2,0.33,572,0.27,0.03
20,5261545.8,9.03E-05,0.00021578,0.00033637,475.08,2905.17,13.7,0.21,466,0.14,0.08
21,7024365.02,9.60E-05,0.00036017,0.00042051,673.98,5483.76,38.4,0.24,517.2,0.24,0.07
22,7855927.58,8.35E-05,0.00022905,0.00024474,656.06,3722.06,18.7,0.26,472.67,0.14,0.08
23,5164780.12,7.93E-05,0.00024935,0.00026762,409.43,2670.04,20.8,0.3,583.33,0.28,0.06
24,4321911.01,0.00012091,0.00023437,0.00033056,522.55,2441.57,38.8,0.33,406.33,0.21,0.07
26,5524179.07,0.00015899,0.0002816,0.0004335,878.31,3950.33,40.6,0.29,506.67,0.36,0.06
27,6880914.46,8.12E-05,0.0002698,0.00031478,558.68,4022.44,4.1,0.29,524,0.23,0.06
28,1649488.66,2.07E-05,0.00023022,0.00027504,34.08,833.42,85.8,0.62,1033,0.49,0
29,4771912.37,5.55E-05,0.00020421,0.00021165,265.03,1984.43,19.9,0.2,474.2,0.09,0.07
30,8679387.65,8.59E-05,0.00022287,0.000161,745.89,3331.75,0,0.2,458,0.11,0.11
31,5489232.36,8.00E-05,0.00024345,0.00025799,438.86,2752.53,0,0.24,526.67,0.18,0.07
32,17299218.84,4.19E-05,0.00024335,0.00048397,725.3,12582.14,90.8,0.31,717.33,0.48,0.02
33,9308247.81,6.40E-05,0.0002591,0.00021478,596.08,4411.04,0,0.16,526.33,0.24,0.04
34,5017055.35,0.00014111,0.00022585,0.00016621,707.94,1966.97,30.7,0.19,449.67,0.13,0.09
35,6106294.38,0.00011534,0.00028203,0.00024689,704.27,3229.71,9.6,0.27,408.8,0.2,0.07
36,6303373.99,0.00010117,0.00026148,0.0003304,637.71,3730.84,5.4,0.18,536.4,0.17,0.07
37,5980241.29,0.00015678,0.00036986,0.00032519,937.58,4156.58,0,0.19,388,0.15,0.08
38,4843606.5,9.53E-05,0.00023096,0.00023603,461.58,2261.94,0,0.35,435.8,0.21,0.07
